,id,name,cost,position,home_team,away_team,kickoff_time,is_home
43,44,Ezri Konsa Ngoyo,45,DEF,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
44,45,Leon Bailey,50,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
45,46,Douglas Luiz Soares de Paulo,50,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
46,47,Jacob Ramsey,55,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
47,48,Carney Chukwuemeka,45,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
48,49,Tim Iroegbunam,45,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
49,50,Diego Carlos Santos Silva,50,DEF,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
50,51,Anwar El Ghazi,50,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
51,52,Keinan Davis,55,FWD,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
52,53,Boubacar Kamara,50,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
53,54,Cameron Archer,45,FWD,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
54,55,Jaden Philogene-Bidace,45,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
55,56,Frédéric Guilbert,40,DEF,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
56,525,Ludwig Augustinsson,45,DEF,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
57,57,Adam Smith,45,DEF,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,True
58,58,Junior Stanislas,50,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,True
59,59,Ryan Fredericks,45,DEF,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,True
60,60,David Brooks,55,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,True
61,61,Jamal Lowe,55,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,True
62,62,Kieffer Moore,55,FWD,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,True
63,63,Emiliano Marcondes,50,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,True
64,64,Jefferson Lerma Solís,50,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,True
65,65,Jack Stacey,45,DEF,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,True
66,66,Dominic Solanke,60,FWD,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,True
67,67,Lewis Cook,50,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,True
68,68,Ben Pearson,45,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,True
69,69,Ryan Christie,55,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,True
70,70,Philip Billing,55,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,True
71,71,Chris Mepham,45,DEF,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,True
72,72,Mark Travers,45,GKP,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,True
73,73,Lloyd Kelly,45,DEF,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,True
74,74,Siriki Dembélé,50,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,True
75,75,Jaidon Anthony,55,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,True
76,76,Jordan Zemura,45,DEF,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,True
77,77,Will Dennis,40,GKP,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,True
78,505,Joe Rothwell,50,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,True
79,78,Pontus Jansson,45,DEF,Leicester,Brentford,2022-08-07T13:00:00Z,False
80,79,Christian Nørgaard,55,MID,Leicester,Brentford,2022-08-07T13:00:00Z,False
81,80,Ivan Toney,70,FWD,Leicester,Brentford,2022-08-07T13:00:00Z,False
82,81,David Raya Martin,45,GKP,Leicester,Brentford,2022-08-07T13:00:00Z,False
83,82,Sergi Canós Tenés,50,DEF,Leicester,Brentford,2022-08-07T13:00:00Z,False
84,83,Josh Dasilva,45,MID,Leicester,Brentford,2022-08-07T13:00:00Z,False
85,84,Kristoffer Ajer,45,DEF,Leicester,Brentford,2022-08-07T13:00:00Z,False
86,85,Rico Henry,45,DEF,Leicester,Brentford,2022-08-07T13:00:00Z,False
87,86,Vitaly Janelt,55,MID,Leicester,Brentford,2022-08-07T13:00:00Z,False
88,87,Saman Ghoddos,50,MID,Leicester,Brentford,2022-08-07T13:00:00Z,False
89,88,Mathias Jensen,50,MID,Leicester,Brentford,2022-08-07T13:00:00Z,False
90,89,Yoane Wissa,55,MID,Leicester,Brentford,2022-08-07T13:00:00Z,False
91,90,Mads Roerslev Rasmussen,45,DEF,Leicester,Brentford,2022-08-07T13:00:00Z,False
92,91,Mads Bech Sørensen,45,DEF,Leicester,Brentford,2022-08-07T13:00:00Z,False
93,92,Ethan Pinnock,45,DEF,Leicester,Brentford,2022-08-07T13:00:00Z,False
94,93,Frank Onyeka,50,MID,Leicester,Brentford,2022-08-07T13:00:00Z,False
95,94,Shandon Baptiste,45,MID,Leicester,Brentford,2022-08-07T13:00:00Z,False
96,95,Bryan Mbeumo,60,FWD,Leicester,Brentford,2022-08-07T13:00:00Z,False
97,96,Charlie Goode,40,DEF,Leicester,Brentford,2022-08-07T13:00:00Z,False
98,97,Marcus Forss,45,FWD,Leicester,Brentford,2022-08-07T13:00:00Z,False
99,98,Dominic Thompson,40,DEF,Leicester,Brentford,2022-08-07T13:00:00Z,False
100,99,Mads Bidstrup,45,MID,Leicester,Brentford,2022-08-07T13:00:00Z,False
101,100,Ellery Balcombe,40,GKP,Leicester,Brentford,2022-08-07T13:00:00Z,False
102,510,Aaron Hickey,50,DEF,Leicester,Brentford,2022-08-07T13:00:00Z,False
